str_id, str_name, str_suffix, str_city, str_soundex, str_status, str_rsvd, str_subdiv, str_juris
"210","ANTIGUA","PL","FORT COLLINS","A532","E","0","0","1"
"9252","ANTILA","AVE","LOVELAND","A534","P","1","512","2"
"211","ANTLER","WAY","RED FEATHER LAKES","A534","E","0","0","3"
"9002","ANTLER RIDGE","LN","LIVERMORE","A534","E","0","312","3"
"212","ANTLERS","CT","FORT COLLINS","A534","E","0","0","1"
"11399","ANTON","DR","WINDSOR","A535","P","0","1026","4"
"5758","ANTONIO","CT","LOVELAND","A535","E","1","49","2"
"10619","ANTORA PEAK","DR","WINDSOR","A536","P","1","938","4"
"5985","ANVIL","LN","FORT COLLINS","A514","E","0","0","1"
"213","ANVIL","LN","LAPORTE","A514","E","0","0","3"
"214","APACHE","TR","RED FEATHER LAKES","A120","E","0","0","3"
"215","APACHE","","LYONS","A120","E","0","0","3"
"216","APACHE","CT","FORT COLLINS","A120","E","0","0","1"
"217","APACHE","CT","RED FEATHER LAKES","A120","E","0","0","3"
"218","APALACHEE","CT","RED FEATHER LAKES","A142","E","0","0","3"
"219","APERT","DR","RED FEATHER LAKES","A163","E","0","0","3"
"220","APERT","CT","RED FEATHER LAKES","A163","E","0","0","3"
"10883","APEX","DR","FORT COLLINS","A120","E","0","0","1"
"8760","APIARIST","AVE","TIMNATH","A162","P","1","414","8"
"9818","APIARY","AVE","TIMNATH","A160","E","1","642","8"
"7485","APIATAN ","CT","FORT COLLINS","A135","E","0","80","1"
"221","APOLLO","CT","FORT COLLINS","A140","E","0","0","1"
"10552","APPALACHIAN","DR","FORT COLLINS","A142","E","0","929","1"
"6854","APPALOOSA","CT","WINDSOR","A142","E","0","0","4"
"222","APPALOOSA","AVE","WELLINGTON","A142","E","0","0","9"
"223","APPALOOSA","CT","FORT COLLINS","A142","E","0","0","1"
"224","APPLE","AVE","LOVELAND","A140","E","0","0","2"
"225","APPLE","DR","FORT COLLINS","A140","E","0","0","1"
"6855","APPLE","CT","WINDSOR","A140","E","0","0","4"
"6856","APPLE","WAY","WINDSOR","A140","E","0","0","4"
"226","APPLE BLOSSOM","LN","FORT COLLINS","A140","E","0","0","1"
"8897","APPLE CIDER","CIR","TIMNATH","A140","P","1","394","8"
"227","APPLE VALLEY","LN","LOVELAND","A140","E","0","0","2"
"228","APPLEBY","DR","LYONS","A141","E","0","0","3"
"229","APPLEGATE","CT","FORT COLLINS","A142","E","0","0","1"
"230","APPLETON","CT","FORT COLLINS","A143","E","0","0","1"
"231","APPLEWOOD","RD","FORT COLLINS","A143","E","0","0","1"
"5743","APRICOT","DR","LOVELAND","A162","P","1","27","2"
"232","AQUA","WAY","LOVELAND","A200","E","0","0","2"
"234","AQUADUCT","AVE","LOVELAND","A232","E","0","0","2"
"235","AQUADUCT","CT","LOVELAND","A232","E","0","0","2"
"236","AQUARIUS","AVE","LOVELAND","A262","E","0","0","2"
"9894","AQUATIC ","DR","WELLINGTON","A232","E","0","688","3"
"237","AQUAVIEW","AVE","LOVELAND","A210","E","0","0","2"
"238","ARABIAN","CT","LOVELAND","A615","E","0","0","2"
"239","ARABIAN","ST","WELLINGTON","A615","E","0","0","9"
"240","ARALIA","CT","LOVELAND","A640","E","0","0","2"
"5986","ARAN","ST","FORT COLLINS","A650","E","0","0","1"
"241","ARANCIA","DR","FORT COLLINS","A652","E","0","0","1"
"242","ARAPAHO","DR","BELLVUE","A610","E","0","0","3"
"243","ARAPAHO","RD","ESTES PARK","A610","E","0","0","5"
"10554","ARAPAHO PASS","DR","FORT COLLINS","A610","E","0","929","1"
"7773","ARAPAHO RIDGE ","RD","LIVERMORE","A610","E","0","247","3"
"244","ARAPAHO VALLEY","RD","LAPORTE","A610","E","0","0","3"
"245","ARAPAHOE","DR","FORT COLLINS","A610","E","0","0","1"
"246","ARAPAHOE","AVE","BERTHOUD","A610","E","0","0","7"
"247","ARAPAHOE","CT","LYONS","A610","E","0","0","3"
"248","ARAPAHOE","CT","RED FEATHER LAKES","A610","E","0","0","3"
"249","ARAPAHOE","WAY","RED FEATHER LAKES","A610","E","0","0","3"
"251","ARBEE","LN","FORT COLLINS","A610","E","0","0","1"
"252","ARBOR","AVE","FORT COLLINS","A616","E","0","0","1"
"253","ARBOR","CT","FORT COLLINS","A616","E","0","0","1"
"254","ARBOR","DR","LOVELAND","A616","E","0","0","2"
"8939","ARBOR VILLA","PL","TIMNATH","A616","P","1","394","8"
