latitude,longitude
40.58631,-105.074162
40.586863,-105.07279
40.586863,-105.07279
40.586043,-105.075445
40.587885,-105.078615
40.586043,-105.075445
40.56618,-105.093338
40.58769,-105.07806
40.58769,-105.07806
40.585747,-105.077963
40.585747,-105.077963
40.584415,-105.07938
40.569565,-105.105873
40.581507,-105.06855
40.584415,-105.07938
40.57795,-105.07614
40.57795,-105.07614
40.57251,-105.075478
40.569323,-105.077645
40.57251,-105.075478
40.6069,-105.08451
40.600055,-105.013066
40.600052,-105.013075
40.500412,-105.041948
40.583887,-105.066961
40.5816,-105.06425
40.581598,-105.064241
40.581631,-105.064258
40.581631,-105.064258
40.58156,-105.064237
40.537925,-105.102876
40.58874,-105.07394
40.588728,-105.07395
40.585725,-105.07539
40.585651,-105.076687
40.586695,-105.078918
40.586658,-105.079024
40.58631,-105.078076
40.586918,-105.080843
40.602036,-105.076843
40.59334,-105.08244
40.593285,-105.082602
40.546,-105.10806
40.583959,-105.07737
40.581643,-105.079119
40.58255,-105.079163
40.581674,-105.074184
40.577212,-105.093512
40.588862,-105.060714
40.56669,-105.05775
40.577224,-105.092504
40.577224,-105.092504
40.581886,-105.078881
40.581886,-105.078881
40.581886,-105.078881
40.581886,-105.078881
40.58434,-105.07653
40.581864,-105.078896
40.58619,-105.12121
40.5667,-105.05779
40.577305,-105.09134
40.57731,-105.091341
40.577344,-105.091236
40.577344,-105.091236
40.577754,-105.093176
40.577484,-105.093428
40.583895,-105.105098
40.577382,-105.08864
40.577369,-105.088653
40.57767,-105.09029
40.577608,-105.090229
40.57741,-105.0874
40.577447,-105.087371
40.577447,-105.087371
40.577418,-105.087382
40.577117,-105.08594
40.57713,-105.08628
40.576248,-105.086229
40.576202,-105.086253
40.577415,-105.086513
40.577416,-105.086325
40.56533,-105.06738
40.577132,-105.092574
40.577132,-105.092574
40.577229,-105.092567
40.55209,-105.09137
40.592713,-105.06977
40.592713,-105.06977
40.592713,-105.06977
40.592713,-105.06977
40.592737,-105.069795
40.592737,-105.069795
40.592714,-105.069814
40.577372,-105.092617
40.577372,-105.092617
40.577194,-105.092641
40.577399,-105.086419
40.577284,-105.092627
40.577284,-105.092627
40.577253,-105.092766
40.577253,-105.092766
40.577255,-105.092527
40.577255,-105.092527
40.575714,-105.085021
40.55943,-105.08892
40.587294,-105.073851
40.587294,-105.073851
40.587294,-105.073851
40.587326,-105.073707
