Date,Year,Month,Scooter Trips,Bike Trips,Normal Price,College Price
6/29/2022,2022,6,495,115,0.3,0.3
6/30/2022,2022,6,526,123,0.3,0.3
7/1/2022,2022,7,888,143,0.3,0.3
7/2/2022,2022,7,1204,197,0.3,0.3
7/3/2022,2022,7,798,167,0.3,0.3
7/4/2022,2022,7,790,112,0.3,0.3
7/5/2022,2022,7,570,160,0.3,0.3
7/6/2022,2022,7,537,177,0.3,0.3
7/7/2022,2022,7,614,127,0.3,0.3
7/8/2022,2022,7,824,156,0.3,0.3
7/9/2022,2022,7,755,156,0.3,0.3
7/10/2022,2022,7,716,167,0.3,0.3
7/11/2022,2022,7,628,121,0.3,0.3
7/12/2022,2022,7,685,132,0.3,0.3
7/13/2022,2022,7,574,148,0.3,0.3
7/14/2022,2022,7,702,190,0.3,0.3
7/15/2022,2022,7,773,202,0.3,0.3
7/16/2022,2022,7,880,269,0.3,0.3
7/17/2022,2022,7,701,235,0.3,0.3
7/18/2022,2022,7,583,181,0.3,0.3
7/19/2022,2022,7,546,160,0.3,0.3
7/20/2022,2022,7,560,164,0.3,0.3
7/21/2022,2022,7,638,150,0.3,0.3
7/22/2022,2022,7,782,215,0.3,0.3
7/23/2022,2022,7,668,158,0.3,0.3
7/24/2022,2022,7,863,208,0.3,0.3
7/25/2022,2022,7,761,228,0.3,0.3
7/26/2022,2022,7,767,213,0.3,0.3
7/27/2022,2022,7,852,152,0.3,0.3
7/28/2022,2022,7,681,124,0.3,0.3
7/29/2022,2022,7,861,163,0.3,0.3
7/30/2022,2022,7,848,162,0.3,0.3
7/31/2022,2022,7,585,151,0.3,0.3
8/1/2022,2022,8,423,128,0.3,0.3
8/2/2022,2022,8,474,99,0.3,0.3
8/3/2022,2022,8,449,90,0.3,0.3
8/4/2022,2022,8,468,159,0.3,0.3
8/5/2022,2022,8,548,197,0.3,0.3
8/6/2022,2022,8,703,193,0.3,0.3
8/7/2022,2022,8,461,173,0.3,0.3
8/8/2022,2022,8,439,132,0.3,0.3
8/9/2022,2022,8,416,134,0.3,0.3
8/10/2022,2022,8,411,186,0.3,0.3
8/11/2022,2022,8,517,193,0.3,0.3
8/12/2022,2022,8,617,235,0.3,0.3
8/13/2022,2022,8,572,268,0.3,0.3
8/14/2022,2022,8,536,218,0.3,0.3
8/15/2022,2022,8,401,150,0.3,0.3
8/16/2022,2022,8,588,233,0.3,0.3
8/17/2022,2022,8,810,287,0.3,0.3
8/18/2022,2022,8,993,388,0.3,0.3
8/19/2022,2022,8,1160,546,0.3,0.3
8/20/2022,2022,8,945,646,0.3,0.3
8/21/2022,2022,8,813,453,0.3,0.3
8/22/2022,2022,8,882,315,0.3,0.3
8/23/2022,2022,8,887,310,0.3,0.3
8/24/2022,2022,8,1005,296,0.3,0.3
8/25/2022,2022,8,978,272,0.3,0.3
8/26/2022,2022,8,1227,465,0.3,0.3
8/27/2022,2022,8,1194,595,0.3,0.3
8/28/2022,2022,8,738,443,0.3,0.3
8/29/2022,2022,8,686,336,0.3,0.3
8/30/2022,2022,8,877,260,0.3,0.3
8/31/2022,2022,8,959,255,0.3,0.3
9/1/2022,2022,9,770,312,0.3,0.3
9/2/2022,2022,9,862,405,0.3,0.3
9/3/2022,2022,9,1293,918,0.3,0.3
9/4/2022,2022,9,873,461,0.3,0.3
9/5/2022,2022,9,719,333,0.3,0.3
9/6/2022,2022,9,727,321,0.3,0.3
